,quantity,job_name
0,27,Photonics Engineers
1,1,"Business Teachers, Postsecondary"
2,3,Physicists
3,22,Computer and Information Research Scientists
4,2,Data Scientists
5,22,"Physics Teachers, Postsecondary"
6,2,Nuclear Medicine Technologists
7,2,Gem and Diamond Workers
8,2,Neurodiagnostic Technologists
9,3,Photonics Technicians
10,1,Business Intelligence Analysts
11,5,Regulatory Affairs Specialists
12,1,Public Relations Specialists
13,7,Operations Research Analysts
14,3,Materials Scientists
15,2,Remote Sensing Scientists and Technologists
16,3,"Computer Science Teachers, Postsecondary"
17,1,Web Administrators
18,1,"Substitute Teachers, Short-Term"
19,1,New Accounts Clerks
20,1,Nanosystems Engineers
21,2,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
22,1,Climate Change Policy Analysts
23,3,"Educational, Guidance, and Career Counselors and Advisors"
24,1,Social Science Research Assistants
25,2,"Middle School Teachers, Except Special and Career/Technical Education"
26,2,Nanotechnology Engineering Technologists and Technicians
27,1,Information Security Engineers
28,5,"Life, Physical, and Social Science Technicians, All Other"
29,2,Business Continuity Planners
30,1,"Social Sciences Teachers, Postsecondary, All Other"
31,2,"Teaching Assistants, Postsecondary"
32,1,Medical and Clinical Laboratory Technologists
33,1,Histotechnologists
34,1,Security Management Specialists
35,1,"Anthropology and Archeology Teachers, Postsecondary"
36,1,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
37,1,Bioinformatics Scientists
38,1,Chief Sustainability Officers
39,1,General and Operations Managers
40,1,School Psychologists
41,1,Training and Development Specialists
42,1,Security Managers
43,2,Information Technology Project Managers
44,1,Nuclear Monitoring Technicians
45,1,Mechatronics Engineers
46,1,Non-Destructive Testing Specialists
